Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 7, 3, 5, 7, 5, 5, 5, 5, 7, 5, 7, 3, 3, 3, 5], 'e': [4, 6, 4, 6, 3, 6, 6, 6, 6, 6, 4, 3, 3, 6, 4, 6, 4, 3, 3, 4], 'd': [3, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:26:17.478565,4230632,0,239427840,74.888
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 3, 5, 5, 5, 5, 5, 7, 7, 3, 5, 3, 3, 7, 3, 5], 'e': [4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 6, 3, 3, 3, 4, 4], 'd': [2, 4, 2, 3, 3], 'r': [224]}",2022-11-01 06:27:44.879467,4439936,0,230736080,74.904
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 3, 7, 5, 7, 5, 5, 5, 5, 3, 3, 3, 3, 7, 3, 7], 'e': [4, 3, 6, 4, 4, 4, 4, 3, 6, 6, 4, 3, 4, 3, 3, 4, 4, 6, 4, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:29:43.505549,4621992,0,288648768,75.744
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 7, 5, 5, 5, 7, 3, 5, 5, 5, 3, 5, 7, 3, 3], 'e': [6, 3, 6, 4, 3, 6, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 6, 3, 6, 4], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:31:19.879860,4996256,0,241767744,75.42
"{'wid': None, 'ks': [7, 5, 3, 5, 5, 3, 3, 3, 5, 5, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5], 'e': [6, 3, 3, 4, 6, 4, 4, 3, 3, 6, 6, 3, 6, 4, 6, 4, 4, 4, 4, 3], 'd': [2, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:32:54.764654,4487048,0,239727392,75.002
"{'wid': None, 'ks': [7, 3, 5, 5, 7, 3, 5, 7, 7, 5, 5, 5, 7, 5, 3, 7, 5, 5, 3, 5], 'e': [4, 4, 3, 4, 6, 3, 6, 4, 6, 6, 4, 4, 6, 4, 4, 4, 6, 6, 6, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:34:42.654689,5388776,0,273917792,75.68
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 5, 3, 3, 5, 5, 5, 5, 5, 7, 5, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 6, 6, 4, 6, 3, 3, 3, 4, 6, 3, 6, 3, 6, 4, 3, 4], 'd': [3, 3, 3, 4, 3], 'r': [224]}",2022-11-01 06:36:28.548251,4958464,0,287964896,76.172
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 3, 5, 3, 5, 5, 3, 5, 5, 7, 5, 7, 5, 3, 5], 'e': [6, 4, 6, 6, 3, 3, 4, 4, 6, 6, 4, 3, 6, 4, 6, 4, 4, 3, 4, 4], 'd': [3, 2, 3, 4, 2], 'r': [224]}",2022-11-01 06:38:20.681442,4499032,0,291022432,75.384
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 3, 5, 5, 5, 7, 3, 5, 5, 5, 5, 5, 7, 3, 3, 5], 'e': [4, 4, 3, 3, 6, 3, 4, 3, 4, 3, 4, 3, 6, 3, 4, 6, 4, 4, 4, 4], 'd': [3, 4, 3, 3, 3], 'r': [224]}",2022-11-01 06:39:47.954776,4574032,0,246482880,75.714
"{'wid': None, 'ks': [5, 3, 5, 7, 3, 5, 3, 5, 3, 5, 7, 5, 5, 7, 7, 3, 5, 3, 7, 7], 'e': [4, 6, 4, 4, 3, 6, 3, 6, 6, 4, 3, 4, 4, 4, 3, 6, 4, 4, 4, 4], 'd': [3, 3, 4, 3, 4], 'r': [224]}",2022-11-01 06:41:28.982096,5022168,0,275818880,76.104
"{'wid': None, 'ks': [7, 3, 7, 3, 7, 5, 7, 7, 7, 7, 5, 3, 5, 3, 5, 5, 7, 5, 7, 3], 'e': [6, 6, 4, 4, 6, 3, 4, 4, 3, 4, 3, 3, 3, 6, 4, 6, 4, 4, 4, 4], 'd': [2, 3, 2, 3, 3], 'r': [224]}",2022-11-01 06:43:09.797025,4662920,0,254781536,75.368
"{'wid': None, 'ks': [3, 3, 7, 5, 3, 7, 3, 5, 7, 3, 3, 3, 5, 3, 5, 3, 5, 7, 7, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 3, 4, 4, 6, 4, 6, 3, 4, 4, 3, 4, 6, 3], 'd': [3, 2, 2, 2, 4], 'r': [224]}",2022-11-01 06:44:35.592295,4912112,0,222697008,74.394
"{'wid': None, 'ks': [7, 7, 5, 3, 5, 5, 7, 3, 5, 3, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7], 'e': [4, 4, 4, 4, 6, 3, 6, 4, 4, 4, 6, 4, 4, 3, 4, 3, 4, 4, 4, 3], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 06:46:07.065544,3829512,0,204876160,73.716
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 5, 3, 3, 3, 5, 7, 5, 3, 3, 7, 5, 7, 5, 5], 'e': [3, 3, 4, 6, 4, 4, 3, 6, 6, 4, 6, 4, 4, 4, 6, 4, 3, 4, 6, 3], 'd': [3, 3, 3, 3, 4], 'r': [224]}",2022-11-01 06:47:45.994463,5333992,0,269786672,76.098
"{'wid': None, 'ks': [3, 3, 3, 7, 5, 5, 7, 7, 7, 7, 5, 7, 5, 7, 5, 7, 5, 3, 5, 7], 'e': [6, 3, 3, 3, 4, 6, 3, 4, 6, 4, 4, 4, 4, 4, 4, 4, 6, 4, 6, 3], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 06:49:11.578975,5364304,0,250800256,75.89
"{'wid': None, 'ks': [3, 5, 7, 3, 5, 5, 5, 3, 5, 7, 5, 3, 7, 3, 5, 3, 7, 5, 5, 3], 'e': [4, 6, 6, 4, 4, 4, 6, 4, 4, 4, 4, 3, 4, 4, 6, 3, 4, 4, 4, 3], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 06:51:11.580318,4789696,0,300144320,76.064
"{'wid': None, 'ks': [7, 5, 7, 5, 3, 3, 5, 7, 5, 7, 5, 5, 3, 5, 5, 3, 3, 5, 5, 7], 'e': [6, 4, 4, 4, 6, 3, 4, 6, 4, 4, 4, 3, 4, 4, 3, 3, 6, 4, 4, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:53:24.276199,5263056,0,326691744,76.434
"{'wid': None, 'ks': [3, 7, 5, 5, 3, 3, 5, 5, 5, 5, 7, 3, 5, 3, 7, 5, 7, 3, 3, 5], 'e': [4, 3, 6, 3, 4, 6, 4, 6, 3, 4, 3, 3, 6, 3, 4, 4, 4, 6, 3, 4], 'd': [4, 3, 4, 2, 3], 'r': [224]}",2022-11-01 06:55:07.905138,4627832,0,262033536,75.134
"{'wid': None, 'ks': [5, 5, 7, 5, 5, 3, 5, 5, 7, 5, 5, 3, 3, 3, 5, 7, 5, 5, 3, 7], 'e': [4, 3, 4, 4, 3, 4, 4, 3, 6, 6, 4, 4, 4, 4, 4, 3, 4, 6, 4, 3], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:56:49.074869,4702192,0,248110144,75.13
