Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 5, 5, 7, 3, 5, 7, 7, 5, 5, 5, 7, 5, 3, 7, 5, 5, 3, 5], 'e': [4, 4, 3, 4, 6, 3, 6, 4, 6, 6, 4, 4, 6, 4, 4, 4, 6, 6, 6, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:27:09.912195,5388776,0,273917792,75.672
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 5, 3, 3, 5, 5, 5, 5, 5, 7, 5, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 6, 6, 4, 6, 3, 3, 3, 4, 6, 3, 6, 3, 6, 4, 3, 4], 'd': [3, 3, 3, 4, 3], 'r': [224]}",2022-11-01 06:28:25.106473,4958464,0,287964896,76.18
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 3, 5, 3, 5, 5, 3, 5, 5, 7, 5, 7, 5, 3, 5], 'e': [6, 4, 6, 6, 3, 3, 4, 4, 6, 6, 4, 3, 6, 4, 6, 4, 4, 3, 4, 4], 'd': [3, 2, 3, 4, 2], 'r': [224]}",2022-11-01 06:29:31.226011,4499032,0,291022432,75.382
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 3, 5, 5, 5, 7, 3, 5, 5, 5, 5, 5, 7, 3, 3, 5], 'e': [4, 4, 3, 3, 6, 3, 4, 3, 4, 3, 4, 3, 6, 3, 4, 6, 4, 4, 4, 4], 'd': [3, 4, 3, 3, 3], 'r': [224]}",2022-11-01 06:30:38.482282,4574032,0,246482880,75.734
"{'wid': None, 'ks': [5, 3, 5, 7, 3, 5, 3, 5, 3, 5, 7, 5, 5, 7, 7, 3, 5, 3, 7, 7], 'e': [4, 6, 4, 4, 3, 6, 3, 6, 6, 4, 3, 4, 4, 4, 3, 6, 4, 4, 4, 4], 'd': [3, 3, 4, 3, 4], 'r': [224]}",2022-11-01 06:31:50.336669,5022168,0,275818880,76.092
"{'wid': None, 'ks': [7, 3, 7, 3, 7, 5, 7, 7, 7, 7, 5, 3, 5, 3, 5, 5, 7, 5, 7, 3], 'e': [6, 6, 4, 4, 6, 3, 4, 4, 3, 4, 3, 3, 3, 6, 4, 6, 4, 4, 4, 4], 'd': [2, 3, 2, 3, 3], 'r': [224]}",2022-11-01 06:33:13.789602,4662920,0,254781536,75.372
"{'wid': None, 'ks': [3, 3, 7, 5, 3, 7, 3, 5, 7, 3, 3, 3, 5, 3, 5, 3, 5, 7, 7, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 3, 4, 4, 6, 4, 6, 3, 4, 4, 3, 4, 6, 3], 'd': [3, 2, 2, 2, 4], 'r': [224]}",2022-11-01 06:34:24.558947,4912112,0,222697008,74.462
"{'wid': None, 'ks': [7, 7, 5, 3, 5, 5, 7, 3, 5, 3, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7], 'e': [4, 4, 4, 4, 6, 3, 6, 4, 4, 4, 6, 4, 4, 3, 4, 3, 4, 4, 4, 3], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 06:35:30.615366,3829512,0,204876160,73.702
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 5, 3, 3, 3, 5, 7, 5, 3, 3, 7, 5, 7, 5, 5], 'e': [3, 3, 4, 6, 4, 4, 3, 6, 6, 4, 6, 4, 4, 4, 6, 4, 3, 4, 6, 3], 'd': [3, 3, 3, 3, 4], 'r': [224]}",2022-11-01 06:36:41.082225,5333992,0,269786672,76.08
"{'wid': None, 'ks': [3, 3, 3, 7, 5, 5, 7, 7, 7, 7, 5, 7, 5, 7, 5, 7, 5, 3, 5, 7], 'e': [6, 3, 3, 3, 4, 6, 3, 4, 6, 4, 4, 4, 4, 4, 4, 4, 6, 4, 6, 3], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 06:37:51.988274,5364304,0,250800256,75.844
"{'wid': None, 'ks': [3, 5, 7, 3, 5, 5, 5, 3, 5, 7, 5, 3, 7, 3, 5, 3, 7, 5, 5, 3], 'e': [4, 6, 6, 4, 4, 4, 6, 4, 4, 4, 4, 3, 4, 4, 6, 3, 4, 4, 4, 3], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 06:39:17.015072,4789696,0,300144320,76.056
"{'wid': None, 'ks': [7, 5, 7, 5, 3, 3, 5, 7, 5, 7, 5, 5, 3, 5, 5, 3, 3, 5, 5, 7], 'e': [6, 4, 4, 4, 6, 3, 4, 6, 4, 4, 4, 3, 4, 4, 3, 3, 6, 4, 4, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:40:35.612913,5263056,0,326691744,76.446
"{'wid': None, 'ks': [3, 7, 5, 5, 3, 3, 5, 5, 5, 5, 7, 3, 5, 3, 7, 5, 7, 3, 3, 5], 'e': [4, 3, 6, 3, 4, 6, 4, 6, 3, 4, 3, 3, 6, 3, 4, 4, 4, 6, 3, 4], 'd': [4, 3, 4, 2, 3], 'r': [224]}",2022-11-01 06:41:55.927732,4627832,0,262033536,75.178
"{'wid': None, 'ks': [5, 5, 7, 5, 5, 3, 5, 5, 7, 5, 5, 3, 3, 3, 5, 7, 5, 5, 3, 7], 'e': [4, 3, 4, 4, 3, 4, 4, 3, 6, 6, 4, 4, 4, 4, 4, 3, 4, 6, 4, 3], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:43:08.578419,4702192,0,248110144,75.11
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 7, 3, 5, 7, 7, 3, 3, 5, 7, 5, 5, 3, 5, 7, 5], 'e': [6, 6, 3, 4, 4, 6, 4, 4, 6, 4, 6, 4, 3, 4, 6, 4, 6, 6, 4, 6], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-11-01 06:44:47.409968,5456768,0,297922528,76.12
"{'wid': None, 'ks': [3, 5, 5, 3, 7, 7, 5, 7, 5, 7, 5, 5, 3, 7, 5, 3, 3, 5, 5, 5], 'e': [6, 3, 4, 3, 6, 6, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 3, 4, 6, 3], 'd': [2, 2, 3, 3, 3], 'r': [224]}",2022-11-01 06:45:52.613580,5073640,0,257864336,75.478
"{'wid': None, 'ks': [5, 5, 5, 7, 5, 7, 5, 3, 5, 5, 5, 3, 3, 7, 3, 7, 5, 5, 5, 5], 'e': [4, 3, 3, 4, 4, 6, 6, 6, 6, 4, 4, 6, 4, 4, 3, 4, 4, 6, 4, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:47:01.593260,4730976,0,255856320,75.188
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 7, 7, 3, 7, 5, 5, 7, 5, 7, 3, 5, 5, 3, 3, 3], 'e': [4, 4, 4, 4, 4, 4, 3, 6, 6, 4, 4, 6, 3, 3, 3, 6, 3, 4, 6, 6], 'd': [3, 2, 4, 3, 2], 'r': [224]}",2022-11-01 06:48:06.062838,3961808,0,250417360,74.714
"{'wid': None, 'ks': [5, 7, 3, 5, 5, 5, 7, 5, 7, 7, 7, 5, 5, 5, 3, 7, 5, 3, 5, 5], 'e': [3, 4, 4, 4, 3, 6, 6, 3, 4, 3, 6, 4, 3, 4, 4, 6, 4, 4, 4, 6], 'd': [3, 3, 2, 4, 3], 'r': [224]}",2022-11-01 06:49:16.114981,4898472,0,280408896,75.742
"{'wid': None, 'ks': [3, 3, 7, 7, 5, 5, 5, 3, 5, 5, 5, 5, 3, 3, 5, 3, 5, 3, 3, 5], 'e': [4, 4, 4, 4, 4, 4, 6, 4, 3, 3, 4, 4, 3, 4, 4, 4, 6, 3, 3, 4], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:50:40.475656,4609240,0,235779904,75.148
"{'wid': None, 'ks': [3, 5, 7, 3, 7, 3, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 7, 3, 7], 'e': [4, 3, 4, 4, 4, 4, 4, 3, 6, 4, 4, 3, 4, 3, 3, 4, 4, 6, 4, 3], 'd': [2, 3, 3, 3, 2], 'r': [224]}",2022-11-01 06:52:07.672115,4352568,0,205312704,74.832
"{'wid': None, 'ks': [7, 3, 3, 5, 5, 5, 3, 7, 3, 3, 3, 7, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [3, 3, 4, 4, 3, 6, 4, 4, 6, 3, 3, 6, 4, 4, 3, 6, 4, 4, 6, 4], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:53:43.203493,3991688,0,190786304,74.374
"{'wid': None, 'ks': [5, 3, 5, 5, 7, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 3, 3, 5, 7], 'e': [3, 3, 6, 3, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:55:09.067617,3808496,0,167333616,73.476
"{'wid': None, 'ks': [7, 5, 7, 5, 3, 3, 5, 7, 5, 7, 5, 5, 3, 5, 7, 7, 3, 5, 5, 7], 'e': [6, 4, 4, 4, 6, 3, 6, 6, 4, 4, 4, 3, 6, 4, 3, 3, 6, 4, 4, 4], 'd': [4, 3, 4, 4, 2], 'r': [224]}",2022-11-01 06:56:25.492089,4579904,0,329779168,75.91
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 3, 5, 3, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 5], 'e': [4, 3, 4, 4, 3, 3, 4, 3, 6, 6, 4, 4, 4, 4, 4, 3, 4, 6, 4, 3], 'd': [3, 2, 3, 2, 2], 'r': [224]}",2022-11-01 06:57:58.570554,4254920,0,203707712,74.054
"{'wid': None, 'ks': [5, 5, 5, 5, 7, 5, 5, 7, 3, 3, 3, 3, 3, 5, 3, 5, 7, 3, 3, 5], 'e': [4, 4, 4, 3, 4, 6, 4, 3, 6, 6, 6, 4, 4, 3, 4, 6, 6, 4, 6, 4], 'd': [2, 4, 4, 4, 3], 'r': [224]}",2022-11-01 06:59:40.002608,5572640,0,309299680,76.466
"{'wid': None, 'ks': [5, 3, 5, 5, 3, 5, 5, 3, 3, 5, 7, 5, 5, 7, 7, 3, 5, 3, 7, 7], 'e': [4, 6, 4, 4, 3, 6, 3, 6, 6, 4, 3, 4, 6, 4, 6, 6, 4, 4, 4, 4], 'd': [3, 3, 4, 3, 4], 'r': [224]}",2022-11-01 07:01:30.894418,5383792,0,302338624,76.318
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 3, 7, 3, 3, 5, 5, 5, 3, 3, 3, 3, 5, 3], 'e': [3, 4, 6, 4, 6, 3, 4, 6, 4, 3, 6, 3, 3, 4, 4, 4, 3, 6, 4, 3], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 07:02:47.853843,5109664,0,333282000,76.13
"{'wid': None, 'ks': [7, 5, 3, 5, 7, 5, 3, 5, 3, 3, 5, 7, 5, 5, 7, 5, 5, 3, 7, 5], 'e': [4, 3, 3, 3, 4, 6, 4, 4, 6, 4, 6, 6, 4, 4, 6, 6, 3, 6, 4, 4], 'd': [3, 4, 3, 3, 3], 'r': [224]}",2022-11-01 07:03:55.678481,5130224,0,285119184,76.054
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 7, 3, 5, 7, 3, 3, 3, 3, 3, 3, 3, 5, 7, 7, 3], 'e': [4, 4, 4, 4, 3, 6, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 6, 3], 'd': [3, 2, 2, 2, 3], 'r': [224]}",2022-11-01 07:05:13.000039,4521488,0,199369424,73.866
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 5, 5, 3, 5, 5, 3, 5, 3, 5, 3, 7, 5, 5, 7, 5], 'e': [3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 6, 4, 3, 3, 3, 3, 3, 3, 4], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-11-01 07:06:23.896016,3658872,0,180913904,73.666
"{'wid': None, 'ks': [7, 3, 5, 5, 7, 3, 5, 7, 7, 5, 5, 5, 5, 5, 3, 3, 3, 5, 3, 5], 'e': [4, 4, 3, 4, 4, 3, 6, 4, 6, 6, 4, 3, 6, 3, 3, 4, 6, 6, 6, 4], 'd': [3, 2, 3, 2, 3], 'r': [224]}",2022-11-01 07:07:37.192587,5276784,0,236679840,75.402
"{'wid': None, 'ks': [3, 3, 3, 7, 5, 7, 5, 5, 5, 3, 5, 5, 3, 5, 3, 5, 7, 7, 5, 3], 'e': [6, 4, 6, 6, 4, 3, 4, 4, 4, 3, 3, 6, 4, 4, 3, 4, 6, 3, 3, 6], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 07:08:53.791789,4360920,0,243896608,75.34
"{'wid': None, 'ks': [7, 7, 7, 7, 5, 5, 7, 5, 5, 3, 7, 5, 5, 3, 5, 3, 5, 5, 7, 5], 'e': [3, 3, 3, 4, 3, 4, 6, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 6, 4], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 07:10:11.800236,5251304,0,233481664,75.358
"{'wid': None, 'ks': [5, 7, 3, 5, 5, 3, 3, 5, 5, 5, 5, 7, 7, 5, 5, 3, 3, 5, 3, 5], 'e': [6, 4, 3, 4, 6, 4, 3, 3, 3, 6, 6, 3, 6, 4, 6, 4, 4, 4, 4, 3], 'd': [2, 4, 3, 2, 3], 'r': [224]}",2022-11-01 07:11:26.847609,4501000,0,252311584,75.136
"{'wid': None, 'ks': [7, 5, 5, 3, 5, 5, 7, 3, 5, 3, 5, 5, 5, 5, 3, 5, 5, 3, 7, 7], 'e': [4, 4, 4, 4, 4, 3, 6, 4, 4, 4, 6, 4, 3, 3, 4, 3, 3, 4, 4, 3], 'd': [2, 2, 2, 2, 2], 'r': [224]}",2022-11-01 07:12:37.417896,3603072,0,158562384,72.44
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 3, 3, 7, 5, 7, 5, 7], 'e': [4, 3, 4, 6, 3, 6, 3, 6, 6, 4, 6, 4, 4, 4, 6, 4, 3, 4, 4, 3], 'd': [3, 3, 4, 3, 4], 'r': [224]}",2022-11-01 07:13:45.382693,5064176,0,284728816,76.146
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 3, 5, 5, 5, 3, 5, 3, 3, 3], 'e': [6, 3, 3, 3, 3, 6, 4, 4, 4, 3, 3, 4, 6, 3, 4, 4, 4, 3, 4, 4], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 07:14:53.407113,4326544,0,212404512,74.734
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 5, 3, 7, 5, 5, 3, 3, 3, 3, 7, 5, 5, 3, 7], 'e': [3, 3, 4, 4, 3, 4, 4, 3, 4, 6, 4, 4, 4, 4, 4, 3, 4, 6, 4, 3], 'd': [3, 2, 3, 2, 3], 'r': [224]}",2022-11-01 07:15:58.897019,4677504,0,208706304,74.866
