Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [4, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:17:15.162053,6956544,0,427221920,77.224
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 4, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:19:22.398055,6939648,0,376192928,77.122
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 3, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:21:32.605979,6899824,0,384296352,77.174
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 4], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:23:44.395550,6575264,0,381515872,77.146
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 4, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:25:51.397420,6901248,0,374311328,77.186
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [4, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:28:26.203111,6918144,0,425340320,77.216
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 3, 7, 7, 7, 5, 3, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:30:45.384548,6941680,0,397015968,77.1
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 7, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:32:59.195510,6951024,0,388686752,77.142
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 4], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:35:09.701355,6536864,0,379634272,77.154
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 3, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [4, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:37:37.056350,6947968,0,415380384,77.226
