Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 7, 5, 5, 5, 7, 3, 5, 5, 5, 3, 5, 7, 3, 3], 'e': [6, 3, 6, 4, 3, 6, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 6, 3, 6, 4], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:30:58.366737,4996256,0,241767744,75.444
"{'wid': None, 'ks': [7, 5, 3, 5, 5, 3, 3, 3, 5, 5, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5], 'e': [6, 3, 3, 4, 6, 4, 4, 3, 3, 6, 6, 3, 6, 4, 6, 4, 4, 4, 4, 3], 'd': [2, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:32:42.206478,4487048,0,239727392,74.992
"{'wid': None, 'ks': [7, 3, 5, 5, 7, 3, 5, 7, 7, 5, 5, 5, 7, 5, 3, 7, 5, 5, 3, 5], 'e': [4, 4, 3, 4, 6, 3, 6, 4, 6, 6, 4, 4, 6, 4, 4, 4, 6, 6, 6, 4], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:34:16.704323,5388776,0,273917792,75.68
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 5, 3, 3, 5, 5, 5, 5, 5, 7, 5, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 6, 6, 4, 6, 3, 3, 3, 4, 6, 3, 6, 3, 6, 4, 3, 4], 'd': [3, 3, 3, 4, 3], 'r': [224]}",2022-11-01 06:35:47.808806,4958464,0,287964896,76.196
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 3, 3, 5, 3, 5, 5, 3, 5, 5, 7, 5, 7, 5, 3, 5], 'e': [6, 4, 6, 6, 3, 3, 4, 4, 6, 6, 4, 3, 6, 4, 6, 4, 4, 3, 4, 4], 'd': [3, 2, 3, 4, 2], 'r': [224]}",2022-11-01 06:37:19.397246,4499032,0,291022432,75.386
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 3, 5, 5, 5, 7, 3, 5, 5, 5, 5, 5, 7, 3, 3, 5], 'e': [4, 4, 3, 3, 6, 3, 4, 3, 4, 3, 4, 3, 6, 3, 4, 6, 4, 4, 4, 4], 'd': [3, 4, 3, 3, 3], 'r': [224]}",2022-11-01 06:39:07.405647,4574032,0,246482880,75.666
"{'wid': None, 'ks': [5, 3, 5, 7, 3, 5, 3, 5, 3, 5, 7, 5, 5, 7, 7, 3, 5, 3, 7, 7], 'e': [4, 6, 4, 4, 3, 6, 3, 6, 6, 4, 3, 4, 4, 4, 3, 6, 4, 4, 4, 4], 'd': [3, 3, 4, 3, 4], 'r': [224]}",2022-11-01 06:40:40.468752,5022168,0,275818880,76.104
"{'wid': None, 'ks': [7, 3, 7, 3, 7, 5, 7, 7, 7, 7, 5, 3, 5, 3, 5, 5, 7, 5, 7, 3], 'e': [6, 6, 4, 4, 6, 3, 4, 4, 3, 4, 3, 3, 3, 6, 4, 6, 4, 4, 4, 4], 'd': [2, 3, 2, 3, 3], 'r': [224]}",2022-11-01 06:42:26.069582,4662920,0,254781536,75.416
"{'wid': None, 'ks': [3, 3, 7, 5, 3, 7, 3, 5, 7, 3, 3, 3, 5, 3, 5, 3, 5, 7, 7, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 3, 4, 4, 6, 4, 6, 3, 4, 4, 3, 4, 6, 3], 'd': [3, 2, 2, 2, 4], 'r': [224]}",2022-11-01 06:43:59.979214,4912112,0,222697008,74.442
"{'wid': None, 'ks': [7, 7, 5, 3, 5, 5, 7, 3, 5, 3, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7], 'e': [4, 4, 4, 4, 6, 3, 6, 4, 4, 4, 6, 4, 4, 3, 4, 3, 4, 4, 4, 3], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 06:45:23.851395,3829512,0,204876160,73.706
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 5, 3, 3, 3, 5, 7, 5, 3, 3, 7, 5, 7, 5, 5], 'e': [3, 3, 4, 6, 4, 4, 3, 6, 6, 4, 6, 4, 4, 4, 6, 4, 3, 4, 6, 3], 'd': [3, 3, 3, 3, 4], 'r': [224]}",2022-11-01 06:47:03.103058,5333992,0,269786672,76.066
"{'wid': None, 'ks': [3, 3, 3, 7, 5, 5, 7, 7, 7, 7, 5, 7, 5, 7, 5, 7, 5, 3, 5, 7], 'e': [6, 3, 3, 3, 4, 6, 3, 4, 6, 4, 4, 4, 4, 4, 4, 4, 6, 4, 6, 3], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 06:48:43.210311,5364304,0,250800256,75.914
"{'wid': None, 'ks': [3, 5, 7, 3, 5, 5, 5, 3, 5, 7, 5, 3, 7, 3, 5, 3, 7, 5, 5, 3], 'e': [4, 6, 6, 4, 4, 4, 6, 4, 4, 4, 4, 3, 4, 4, 6, 3, 4, 4, 4, 3], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 06:50:18.802990,4789696,0,300144320,76.042
"{'wid': None, 'ks': [7, 5, 7, 5, 3, 3, 5, 7, 5, 7, 5, 5, 3, 5, 5, 3, 3, 5, 5, 7], 'e': [6, 4, 4, 4, 6, 3, 4, 6, 4, 4, 4, 3, 4, 4, 3, 3, 6, 4, 4, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:51:46.198596,5263056,0,326691744,76.406
"{'wid': None, 'ks': [3, 7, 5, 5, 3, 3, 5, 5, 5, 5, 7, 3, 5, 3, 7, 5, 7, 3, 3, 5], 'e': [4, 3, 6, 3, 4, 6, 4, 6, 3, 4, 3, 3, 6, 3, 4, 4, 4, 6, 3, 4], 'd': [4, 3, 4, 2, 3], 'r': [224]}",2022-11-01 06:53:28.606713,4627832,0,262033536,75.13
"{'wid': None, 'ks': [5, 5, 7, 5, 5, 3, 5, 5, 7, 5, 5, 3, 3, 3, 5, 7, 5, 5, 3, 7], 'e': [4, 3, 4, 4, 3, 4, 4, 3, 6, 6, 4, 4, 4, 4, 4, 3, 4, 6, 4, 3], 'd': [4, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:54:59.110310,4702192,0,248110144,75.094
"{'wid': None, 'ks': [7, 5, 3, 7, 7, 7, 3, 5, 7, 7, 3, 3, 5, 7, 5, 5, 3, 5, 7, 5], 'e': [6, 6, 3, 4, 4, 6, 4, 4, 6, 4, 6, 4, 3, 4, 6, 4, 6, 6, 4, 6], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-11-01 06:56:26.366340,5456768,0,297922528,76.068
