Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [5, 7, 7, 3, 3, 3, 3, 7, 5, 7, 7, 3, 5, 7, 3, 3, 5, 7, 5, 5], 'e': [4, 6, 3, 4, 4, 6, 6, 3, 3, 4, 4, 6, 4, 6, 4, 6, 4, 4, 4, 3], 'd': [3, 3, 2, 2, 3], 'r': [224]}",2022-11-01 06:28:13.097313,4543576,0,259311136,74.914
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 5, 3, 7, 5, 5, 3, 7, 7, 7, 3, 7, 7, 5, 5, 3], 'e': [6, 4, 3, 6, 3, 6, 4, 6, 6, 6, 6, 3, 6, 3, 6, 6, 3, 4, 4, 3], 'd': [4, 3, 4, 2, 2], 'r': [224]}",2022-11-01 06:29:44.088310,4044520,0,298299408,74.612
"{'wid': None, 'ks': [5, 5, 7, 5, 3, 3, 3, 7, 5, 7, 7, 5, 3, 5, 5, 5, 7, 5, 3, 5], 'e': [3, 3, 3, 6, 6, 6, 4, 6, 4, 3, 4, 3, 4, 6, 3, 4, 4, 6, 6, 6], 'd': [3, 4, 3, 4, 3], 'r': [224]}",2022-11-01 06:31:23.650680,5693160,0,307006272,76.486
"{'wid': None, 'ks': [3, 7, 3, 5, 3, 7, 7, 5, 7, 3, 7, 3, 7, 5, 7, 5, 7, 5, 3, 3], 'e': [3, 3, 4, 4, 3, 3, 3, 6, 3, 4, 4, 4, 6, 6, 6, 6, 4, 6, 6, 6], 'd': [2, 3, 4, 2, 3], 'r': [224]}",2022-11-01 06:32:54.861665,5390048,0,233516320,75.284
"{'wid': None, 'ks': [7, 5, 5, 3, 7, 5, 3, 5, 5, 3, 5, 3, 7, 5, 7, 7, 5, 3, 5, 5], 'e': [3, 3, 4, 3, 6, 3, 6, 6, 6, 3, 3, 4, 3, 3, 6, 3, 3, 6, 3, 6], 'd': [2, 2, 3, 2, 4], 'r': [224]}",2022-11-01 06:34:25.382722,5107952,0,196639728,74.252
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 5, 3, 3, 7, 3, 3, 3, 5, 3, 7, 5, 3, 3, 5, 3], 'e': [3, 6, 4, 6, 3, 6, 3, 4, 4, 4, 6, 6, 3, 4, 6, 3, 6, 3, 6, 6], 'd': [4, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:35:57.476233,4493488,0,296950144,75.488
"{'wid': None, 'ks': [3, 5, 5, 5, 7, 3, 5, 7, 5, 3, 3, 5, 7, 3, 3, 3, 5, 7, 7, 7], 'e': [6, 6, 4, 4, 6, 6, 4, 4, 6, 6, 4, 3, 6, 3, 6, 6, 6, 6, 3, 4], 'd': [3, 2, 3, 3, 3], 'r': [224]}",2022-11-01 06:37:35.280014,5250600,0,298044608,75.96
"{'wid': None, 'ks': [5, 5, 7, 3, 5, 5, 5, 7, 5, 5, 3, 7, 5, 3, 3, 3, 3, 5, 3, 7], 'e': [6, 4, 3, 6, 3, 6, 6, 6, 4, 6, 3, 4, 4, 6, 4, 6, 3, 4, 6, 4], 'd': [3, 2, 4, 4, 2], 'r': [224]}",2022-11-01 06:39:25.384822,4667168,0,291314448,75.384
"{'wid': None, 'ks': [3, 7, 5, 3, 3, 5, 7, 5, 3, 5, 7, 3, 5, 7, 7, 7, 7, 7, 7, 3], 'e': [6, 6, 6, 4, 3, 3, 4, 6, 4, 4, 4, 3, 3, 3, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 4, 4], 'r': [224]}",2022-11-01 06:40:58.802561,5497560,0,329780544,75.778
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 3, 5, 5, 7, 5, 7, 7, 3, 3, 3, 3, 7, 3, 7, 3], 'e': [4, 4, 6, 4, 4, 6, 4, 4, 4, 3, 6, 3, 4, 4, 3, 4, 6, 6, 6, 4], 'd': [4, 4, 3, 2, 2], 'r': [224]}",2022-11-01 06:42:37.403428,4551752,0,280569120,75.15
"{'wid': None, 'ks': [5, 7, 3, 3, 3, 5, 3, 3, 5, 5, 5, 3, 3, 5, 7, 5, 3, 3, 5, 7], 'e': [6, 3, 6, 6, 6, 4, 3, 4, 6, 3, 4, 3, 4, 3, 4, 6, 4, 6, 4, 6], 'd': [4, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:43:47.964656,4614856,0,268311872,74.924
"{'wid': None, 'ks': [3, 5, 3, 7, 5, 7, 5, 3, 5, 3, 3, 5, 7, 5, 7, 3, 5, 5, 7, 5], 'e': [3, 4, 3, 3, 6, 6, 3, 6, 6, 3, 4, 4, 6, 6, 3, 3, 3, 3, 4, 3], 'd': [2, 4, 2, 4, 2], 'r': [224]}",2022-11-01 06:45:00.467381,4283920,0,254582064,74.904
"{'wid': None, 'ks': [3, 7, 5, 5, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 5, 3, 5, 3, 5, 5], 'e': [6, 4, 4, 6, 3, 4, 6, 3, 4, 4, 4, 3, 3, 4, 4, 3, 6, 3, 6, 6], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:46:34.502285,5931184,0,349507968,76.704
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 3, 5, 7, 5, 7, 3, 3, 5, 3, 5, 7, 3, 7, 7, 3], 'e': [3, 3, 6, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 4, 4, 6, 6, 3, 6, 6], 'd': [3, 2, 3, 2, 4], 'r': [224]}",2022-11-01 06:48:04.288390,5543568,0,244889312,75.418
"{'wid': None, 'ks': [7, 5, 5, 5, 7, 7, 7, 3, 5, 3, 7, 7, 3, 5, 5, 7, 7, 7, 5, 3], 'e': [6, 6, 3, 4, 6, 4, 6, 4, 3, 6, 6, 6, 6, 6, 3, 6, 6, 4, 6, 4], 'd': [2, 3, 3, 2, 2], 'r': [224]}",2022-11-01 06:49:21.066044,4517304,0,283555840,75.212
